Status,"Product code","Product user reference",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,GCHD-11,,"Glass Candle Holders & Jar Sets",5056368348624,,3.45,1,"Holder Set",3.45,"Set of 2  Flower Flip Dinner Candle / Tealight Holder - Royal Blue",7,0.196,0.424,"7x4 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/73wC6UmsJAhAkJBdSfgSR1y-4pVSVMCHJvNTyZj5UGw/bG9jYWw6Ly9tZWRpYS8xSi9BQy82MFIzMEMxSDc0UjNBQzFKLzhiNmUwZTEyLmpwZWc, https://media.aiku.io/rD0e9sPFHgFrcQPeXge1SMcBox_saILyECptcinaUjE/bG9jYWw6Ly9tZWRpYS8xSy9BQy82MFIzMEMxSDc0UjNBQzFLLzVkM2U2YTJmLmpwZWc, https://media.aiku.io/2eK8SbEE_yDs5iUFR2CXqcUZnNdfxiv3ZDmKJtDv6Do/bG9jYWw6Ly9tZWRpYS8xTS9BQy82MFIzMEMxSDc0UjNBQzFNL2I0ZjgyM2VjLmpwZWc, https://media.aiku.io/DL3OB9bTWwrwvKnPP6eW33TVv-RG2tiLxLrSy9p3Mp0/bG9jYWw6Ly9tZWRpYS8xSC84RS82MFIzMEMxSDc0U0s4RTFILzBhM2RjYmUyLmpwZWc, https://media.aiku.io/0UVF1ZDnw8TcjuNenovEcVzBQjiPfLurDST8bRsJTnI/bG9jYWw6Ly9tZWRpYS8xSi84RS82MFIzMEMxSDc0U0s4RTFKL2FkZjZhZTlhLmpwZWc, https://media.aiku.io/jaQroEgFUs1wpcf8osUBsouEsWx876XuFip35mpERT8/bG9jYWw6Ly9tZWRpYS8xSy84RS82MFIzMEMxSDc0U0s4RTFLLzhmMDczY2NmLmpwZWc","2025-12-10 07:37:16+00","2025-12-10 07:37:16+00",,"2025-09-11 10:10:55+00",353
Active,GCHD-24,,"Glass Candle Holders & Jar Sets",5056368348754,,6.24,1,"Holder Set",6.24,"Set of 2 Buddha Faces Candle Jar - Garden Jade",12.6,0.225,0.486,"6.8x7.3 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/D04zXeB44KDRNVmX0cxTHntDfMxENk9xJ28M-0AaBRs/bG9jYWw6Ly9tZWRpYS85SC9BQy82MFIzMEMxSDc0UjNBQzlILzE2MzE2MjU0LmpwZWc, https://media.aiku.io/Xo9IOASOFWXOEvZNk5wv9pqp1dKSnK1ik34MTIqVucU/bG9jYWw6Ly9tZWRpYS85Si9BQy82MFIzMEMxSDc0UjNBQzlKLzlmOGQ5MGVjLmpwZWc","2025-11-18 12:15:55+00","2025-11-18 12:15:55+00",,"2025-09-11 10:11:14+00",247
Active,GCHD-23,,"Glass Candle Holders & Jar Sets",5056368348747,,6.24,1,"Holder Set",6.24,"Set of 2 Buddha Faces Candle Jar - Midnight Grey",12.6,0.219,0.476,"6.8x7.3 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/0XAHCHlBdueZoWzV0LoTKy40-gRpkb44VHTCC8dqNEk/bG9jYWw6Ly9tZWRpYS85Ui9BQy82MFIzMEMxSDc0UjNBQzlSLzI3Mjc3ODQyLmpwZWc, https://media.aiku.io/ZNjlWde91rkF_cIaoQJ55wZPwFakvfl6SHmfvq-LmqI/bG9jYWw6Ly9tZWRpYS85Uy9BQy82MFIzMEMxSDc0UjNBQzlTLzRhZjJjNTM3LmpwZWc","2025-11-24 08:46:24+00","2025-11-24 08:46:24+00",,"2025-09-11 10:11:13+00",254
Active,GCHD-21,,"Glass Candle Holders & Jar Sets",5056368348723,,6.24,1,"Holder Set",6.24,"Set of 2 Buddha Faces Candle Jar - Royal Blue",12.6,0.22,0.478,"6.8x7.3 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/5KcPfv-eo2aW54roriCWqowBu9MrKXz8oc2fYDgmPqA/bG9jYWw6Ly9tZWRpYS85UC9BQy82MFIzMEMxSDc0UjNBQzlQL2RkMWVlYzg4LmpwZWc, https://media.aiku.io/mxAtx_Kx5HLpdMOWNiNlZJjh8QTBZg7f5yRn76Z3RGI/bG9jYWw6Ly9tZWRpYS85US9BQy82MFIzMEMxSDc0UjNBQzlRLzEwMzBmZmQ3LmpwZWc","2025-11-24 08:46:21+00","2025-11-24 08:46:21+00",,"2025-09-11 10:11:10+00",241
Active,GCHD-18,,"Glass Candle Holders & Jar Sets",5056368348693,,6.5,1,"Holder Set",6.5,"Set of 2 Mushroom Flip Dinner Candle / Tealight Holder - Midnight Grey",13.8,0.19,0.412,"6.2x7 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/MFUAQz7XLdbmgfmqVYrxFcjlFSalxQWB851yWsU9QX0/bG9jYWw6Ly9tZWRpYS8xTS84RS82MFIzMEMxSDc0UjM4RTFNLzY0OGEzNmU5LmpwZWc, https://media.aiku.io/r7uLMj9F0mn7nkZU3TbWRbwoBKXLyqkfYqMfs-wpdYY/bG9jYWw6Ly9tZWRpYS8xTi84RS82MFIzMEMxSDc0UjM4RTFOL2YyYmNjOGQ4LmpwZWc, https://media.aiku.io/NhMMCnD97HADhz8xLiB3REDP1PGnmTrjbM691vutn44/bG9jYWw6Ly9tZWRpYS8xUC84RS82MFIzMEMxSDc0UjM4RTFQL2UyOTMwYjViLmpwZWc","2025-11-24 08:46:23+00","2025-11-24 08:46:23+00",,"2025-09-11 10:11:06+00",232
Active,GCHD-16,,"Glass Candle Holders & Jar Sets",5056368348679,,6.5,1,"Holder Set",6.5,"Set of 2 Mushroom Flip Dinner Candle / Tealight Holder - Royal Blue",13.8,0.19,0.412,"6.2x7 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/VO5LI1jgYBO07KNA2-zHba2dPtWuervJBbudU8Nf3b8/bG9jYWw6Ly9tZWRpYS9TSi84RC82MFIzMEMxSDc0UjM4RFNKL2QwN2Y2YzM3LmpwZWc, https://media.aiku.io/3tUZ3V1RiWTBvoD-B6LfTZtJmrhNm-s_VRYMnAbL38A/bG9jYWw6Ly9tZWRpYS9TSy84RC82MFIzMEMxSDc0UjM4RFNLLzM1MjA2MzhmLmpwZWc, https://media.aiku.io/Wt3S07OUvhdPosXHq7pI9uMDFA5yAhkyy2xP9JHWqpo/bG9jYWw6Ly9tZWRpYS9TTS84RC82MFIzMEMxSDc0UjM4RFNNLzk4YjkyYTAyLmpwZWc","2025-12-06 17:47:20+00","2025-12-06 17:47:20+00",,"2025-09-11 10:11:03+00",234
Active,GCHD-19,,"Glass Candle Holders & Jar Sets",5056368348709,,6.5,1,"Holder Set",6.5,"Set of 2 Mushroom Flip Dinner Candle / Tealight Holder - Vampire Red",13.8,0.191,0.418,"6.2x7 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/UoWKH2zlNFydmXYlXwI03m57XqTYxK9wJuRrXizpjvQ/bG9jYWw6Ly9tZWRpYS8xUi9BQy82MFIzMEMxSDc0UjNBQzFSLzIwMzk1MmFhLmpwZWc, https://media.aiku.io/FOzLpZmMJ36pGbWnQkQGSF7XhF4hAVECrZPodoT6XD4/bG9jYWw6Ly9tZWRpYS8xUy9BQy82MFIzMEMxSDc0UjNBQzFTLzg3ZjEzZGJiLmpwZWc, https://media.aiku.io/iqxRK1Qo6cBrWc21O3L8Uj2XWupdTWVCRZq30Hwhkxg/bG9jYWw6Ly9tZWRpYS85Ry9BQy82MFIzMEMxSDc0UjNBQzlHLzU1ZDhjMzhkLmpwZWc","2025-12-08 10:30:24+00","2025-12-08 10:30:24+00",,"2025-09-11 10:11:08+00",225
Active,GCHD-02,,"Glass Candle Holders & Jar Sets",5056368348532,,5.98,1,"Holder Set",5.98,"Set of 2 Vintage Dinner Candle Holder -  Antique Amber",12,0.171,0.374,"10x8 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/KRIcgKNGuhUoDW7fMoca53cnqYyjT26fZDs2-GDGCKI/bG9jYWw6Ly9tZWRpYS9IUC84RC82MFIzMEMxSDc0UjM4REhQLzNiNzU4MmJmLmpwZWc, https://media.aiku.io/6sZU9fzxxXM4H0ue_HWkIAGb0zAViTvx_cd5q9WU0hU/bG9jYWw6Ly9tZWRpYS9IUS84RC82MFIzMEMxSDc0UjM4REhRLzljYWE3MzQ2LmpwZWc","2025-12-08 06:35:23+00","2025-12-08 06:35:23+00",,"2025-09-11 10:10:42+00",120
Active,GCHD-01,,"Glass Candle Holders & Jar Sets",5056368348525,,5.98,1,"Holder Set",5.98,"Set of 2 Vintage Dinner Candle Holder - Royal Blue",12,0.172,0.376,"10x8 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/RHZ3ioa13eN9h-I8llXn7dH9rLc7mu1vk7U_Frj9iXM/bG9jYWw6Ly9tZWRpYS9TRy84RC82MFIzMEMxSDc0UjM4RFNHLzNiMGM4YTBkLmpwZWc, https://media.aiku.io/Ql__PmjRxzFVD8oiB3HOKtg26JgaKlS_EvrhkB6YkKM/bG9jYWw6Ly9tZWRpYS9TSC84RC82MFIzMEMxSDc0UjM4RFNILzhkYWI2NmY4LmpwZWc","2025-12-03 13:11:13+00","2025-12-03 13:11:13+00",,"2025-09-11 10:10:41+00",100
Active,GCHD-04,,"Glass Candle Holders & Jar Sets",5056368348556,,5.98,1,"Holder Set",5.98,"Set of 2 Vintage Dinner Candle Holder - Vampire Red",12,0.172,0.376,"10x8 (cm)","pressed glass",,,CHN,7018909000,11.0%,,Normal,"https://media.aiku.io/xAzofg-lSZPeAOCNSmWXIA3e62j24SkuobctGsy48I8/bG9jYWw6Ly9tZWRpYS9IUi84RC82MFIzMEMxSDc0UjM4REhSL2JjYzQzNjIzLmpwZWc, https://media.aiku.io/gyFwblswZMsdSGGcSEtSfA2kg84GBaUJBQUqNYCYw4g/bG9jYWw6Ly9tZWRpYS9IUy84RC82MFIzMEMxSDc0UjM4REhTL2Y4NWY1YTY3LmpwZWc","2025-12-09 19:58:08+00","2025-12-09 15:11:14+00",,"2025-09-11 10:10:44+00",139
