Status,"Product code","Product user reference",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,GEL-06,,"Gemstone Enchantment Lights",5056368333668,,11.45,1,String,11.45,"Gemstone Enchantment Lights - Amethyst",21.85,0.2,0.15,"227x0.4 (cm)","Gemstone, Led Lights","<p><span style=""color: rgb(75, 80, 88)"">Introducing <strong>Gemstone Enchantment Lights</strong> - a dazzling fusion of nature's beauty and modern technology. Perfect for resale, these lights will enchant your customers and their surroundings.&nbsp;</span></p> <p><span style=""color: rgb(75, 80, 88)""><strong>The lights come with a USB connector</strong> for hassle-free power supply. Customers can easily plug them into their computers, power banks, or USB wall chargers. Please note that an adapter is not included as part of the product.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88)""><strong>The length of the lights is 227cm.</strong></span></p><p><span style=""color: rgb(75, 80, 88)"">Invite serenity and spiritual growth with <strong>Amethyst lights</strong>. Their soothing purple glow promotes relaxation, intuition, and peace. Create a tranquil haven in your space with these enchanting lights.</span></p><p><span style=""color: rgb(75, 80, 88)""><strong>Transform any space into a realm of enchantment with Gemstone Enchantment Lights.</strong></span></p>","Introducing Gemstone Enchantment Lights - a dazzling fusion of nature's beauty and modern technology. Perfect for resale, these lights will enchant your customers and their surroundings.&nbsp; The lights come with a USB connector for hassle-free power supply. Customers can easily plug them into their computers, power banks, or USB wall chargers. Please note that an adapter is not included as part of the product.&nbsp;The length of the lights is 227cm.Invite serenity and spiritual growth with Amethyst lights. Their soothing purple glow promotes relaxation, intuition, and peace. Create a tranquil haven in your space with these enchanting lights.Transform any space into a realm of enchantment with Gemstone Enchantment Lights.",CHN,9405310000,2.0%,,Normal,"https://media.aiku.io/S8AXwbZ86eM0r7GkSb-xCCxGPz_wX_cZxl29SC9Urnc/bG9jYWw6Ly9tZWRpYS9IRy84RC82MFIzMEMxRzZSV0s4REhHL2MwYzU5Mzc5LmpwZWc, https://media.aiku.io/H0uzEHtzlnznlcRslcyVEyJKl4ZLgZQBX4m135mqvk8/bG9jYWw6Ly9tZWRpYS85Uy84RC82MFIzMEMxRzZSV0s4RDlTLzMzZWZiN2JjLmpwZWc, https://media.aiku.io/rZSTBsfIB-JUPE9IObU3FS6x-Px91e1JizK6kiqS5nA/bG9jYWw6Ly9tZWRpYS9ISC84RC82MFIzMEMxRzZSV0s4REhIL2IwYzFiZDNhLmpwZWc, https://media.aiku.io/-FJKU7kjAZ9S3aPkiTyNPYoGmDHW57EIIQIVk9Co28g/bG9jYWw6Ly9tZWRpYS9ISi84RC82MFIzMEMxRzZSV0s4REhKL2JiYzJjYTkzLmpwZWc","2025-12-09 19:59:23+00","2025-12-08 10:29:12+00",,"2025-09-11 09:32:29+00",79
Active,AromaJ-03,,"Aromatherapy Jewellery Necklaces and Bracelets",5060060116528,,8.2,1,Necklace,8.2,"Aromatherapy Jewellery Necklace - Music Notes 25mm",13.95,0.014,0.014,"2.5x0.4 (cm)","Stainless Steel","<p>These <strong>Aromatherapy Diffuser Necklace - Music Notes 25mm </strong>will allow you to wear your favourite essential oil or one of our special blends wherever you go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.</p><p>Lockets are available in two sizes 25 mm and 30 mm in diameter and 5 mm in thickness and are made of stainless steel to ensure the oils do not tarnish or breakdown the metal over time. Each necklace comes with 10 assorted colour pads.</p><p>The back of the locket is solid and it can be opened via a tiny slit on the right which is held together with a strong magnetic closure.&nbsp;</p><p>So hurry order today this stunning range of Necklaces, pick your Essential oils or Blends and enjoy that ultimate wearable aromatherapy .</p>","These Aromatherapy Diffuser Necklace - Music Notes 25mm will allow you to wear your favourite essential oil or one of our special blends wherever you go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.Lockets are available in two sizes 25 mm and 30 mm in diameter and 5 mm in thickness and are made of stainless steel to ensure the oils do not tarnish or breakdown the metal over time. Each necklace comes with 10 assorted colour pads.The back of the locket is solid and it can be opened via a tiny slit on the right which is held together with a strong magnetic closure.&nbsp;So hurry order today this stunning range of Necklaces, pick your Essential oils or Blends and enjoy that ultimate wearable aromatherapy .",CHN,7117190090,4.0%,,Low,"https://media.aiku.io/okSjUajZHpAX-RHkG7wtIO9R9vStZ7PSjZ9BQ7tE39k/bG9jYWw6Ly9tZWRpYS85Uy84RC82MFIzMEMxRzZNVEs4RDlTLzJiYzI2NGZhLmpwZWc, https://media.aiku.io/--2f6XvwIDV-4ibTs3aaT8rNkYg_fRHNZnYC96Ibhdk/bG9jYWw6Ly9tZWRpYS9IRy84RC82MFIzMEMxRzZNVEs4REhHLzA0OTlkNWRiLmpwZWc, https://media.aiku.io/7ZeNEH44bWHCa6dB7x047AJT6FQeoiX2cncudH6xnQs/bG9jYWw6Ly9tZWRpYS9ISC84RC82MFIzMEMxRzZNVEs4REhIL2Y0ZDA5M2FlLmpwZWc, https://media.aiku.io/uZF03aBytc6Cg7Ys19I3WKHAKhGE3LjHoMptXkEXn8g/bG9jYWw6Ly9tZWRpYS85TS84RC82MFIzMEMxRzZNVEs4RDlNL2JlZDhlZWJiLmpwZWc, https://media.aiku.io/FOCUtLQwcEgDaN8CBNkcTbwW56erToHxQkFjDhWr_54/bG9jYWw6Ly9tZWRpYS85Ti84RC82MFIzMEMxRzZNVEs4RDlOL2VjNTc5MmIxLmpwZWc","2025-12-09 03:07:06+00","2025-12-09 03:07:06+00",,"2025-09-11 07:34:18+00",13
Active,AromaJ-02,,"Aromatherapy Jewellery Necklaces and Bracelets",5060060116511,,8.2,1,Necklace,8.2,"Aromatherapy Jewellery Necklace - Flower of Life 25mm",13.95,0.014,0.014,"2.5x0.4 (cm)","Stainless Steel","<p>These <strong>Aromatherapy Diffuser Necklace - Flower of Life 25mm</strong> will allow you to wear your favourite essential oil or one of our special blends wherever you go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.</p><p>Lockets are available in two sizes 25 mm and 30 mm in diameter and 5 mm in thickness and are made of stainless steel to ensure the oils do not tarnish or breakdown the metal over time. Each necklace comes with 10 assorted colour pads.</p><p>The back of the locket is solid and it can be opened via a tiny slit on the right which is held together with a strong magnetic closure.&nbsp;</p><p>So hurry order today this stunning range of Necklaces, pick your Essential oils or Blends and enjoy that ultimate wearable aromatherapy .</p>","These Aromatherapy Diffuser Necklace - Flower of Life 25mm will allow you to wear your favourite essential oil or one of our special blends wherever you go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.Lockets are available in two sizes 25 mm and 30 mm in diameter and 5 mm in thickness and are made of stainless steel to ensure the oils do not tarnish or breakdown the metal over time. Each necklace comes with 10 assorted colour pads.The back of the locket is solid and it can be opened via a tiny slit on the right which is held together with a strong magnetic closure.&nbsp;So hurry order today this stunning range of Necklaces, pick your Essential oils or Blends and enjoy that ultimate wearable aromatherapy .",CHN,7117190090,4.0%,,Normal,"https://media.aiku.io/0lNXN5wisGr-QiXFepuFu-TpBjRBI1WkaqxZCsDRNr8/bG9jYWw6Ly9tZWRpYS85UC84RC82MFIzMEMxRzZNVEs4RDlQLzNlMmMzZDkyLmpwZWc, https://media.aiku.io/bDKW05ecRDHcEp7HzMn2wY819IOYPnHJJn-8FmU5Rw4/bG9jYWw6Ly9tZWRpYS85US84RC82MFIzMEMxRzZNVEs4RDlRLzIwMWExMzU0LmpwZWc, https://media.aiku.io/UrZixerx9EN_zQcAAaLQP3Y9meBf-geciyaI1yIHeT8/bG9jYWw6Ly9tZWRpYS85Ui84RC82MFIzMEMxRzZNVEs4RDlSLzVmOGI1NGYzLmpwZWc, https://media.aiku.io/uZF03aBytc6Cg7Ys19I3WKHAKhGE3LjHoMptXkEXn8g/bG9jYWw6Ly9tZWRpYS85TS84RC82MFIzMEMxRzZNVEs4RDlNL2JlZDhlZWJiLmpwZWc, https://media.aiku.io/FOCUtLQwcEgDaN8CBNkcTbwW56erToHxQkFjDhWr_54/bG9jYWw6Ly9tZWRpYS85Ti84RC82MFIzMEMxRzZNVEs4RDlOL2VjNTc5MmIxLmpwZWc","2025-12-05 10:49:09+00","2025-12-05 10:49:09+00",,"2025-09-11 07:34:15+00",34
Active,AromaJ-14,,"Aromatherapy Jewellery Necklaces and Bracelets",5060060116634,,8.96,1,Necklace,8.96,"Aromatherapy Jewellery Necklace - Four Leaf Clover 30mm",15.95,0.018,0.018,"3x0.5 (cm)","Stainless Steel","<p>These <strong>Aromatherapy Diffuser Necklace - Four Leaf Clover 30mm</strong> will allow you to wear your favourite essential oil or one of our special blends wherever you go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.</p><p>Lockets are available in two sizes 25 mm and 30 mm in diameter and 5 mm in thickness and are made of stainless steel to ensure the oils do not tarnish or breakdown the metal over time. Each necklace comes with 10 assorted colour pads.</p><p>The back of the locket is solid and it can be opened via a tiny slit on the right which is held together with a strong magnetic closure.&nbsp;</p><p>So hurry order today this stunning range of Necklaces, pick your Essential oils or Blends and enjoy that ultimate wearable aromatherapy .</p>","These Aromatherapy Diffuser Necklace - Four Leaf Clover 30mm will allow you to wear your favourite essential oil or one of our special blends wherever you go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.Lockets are available in two sizes 25 mm and 30 mm in diameter and 5 mm in thickness and are made of stainless steel to ensure the oils do not tarnish or breakdown the metal over time. Each necklace comes with 10 assorted colour pads.The back of the locket is solid and it can be opened via a tiny slit on the right which is held together with a strong magnetic closure.&nbsp;So hurry order today this stunning range of Necklaces, pick your Essential oils or Blends and enjoy that ultimate wearable aromatherapy .",CHN,7117190090,4.0%,,Low,"https://media.aiku.io/3BpqKmYPSCy0Az9vVuLvEfNnLV_31QDPxKuWY5dT4MM/bG9jYWw6Ly9tZWRpYS85TS84RS82MFIzMEMxRzZNVEs4RTlNLzk0OWJlYmY1LmpwZWc, https://media.aiku.io/K7oxNMwDz0ZNPgY4cm-XqLu7gxm4u3e34Fl5qNE4ye8/bG9jYWw6Ly9tZWRpYS85Ti84RS82MFIzMEMxRzZNVEs4RTlOLzNiYmE3OTZmLmpwZWc, https://media.aiku.io/py9P5LX6eITUEU42jJEChLJ3eLG5LcRvTanHAPi4EOY/bG9jYWw6Ly9tZWRpYS85UC84RS82MFIzMEMxRzZNVEs4RTlQLzRhOTlkYWNmLmpwZWc, https://media.aiku.io/33FZQ3oFl5SZyeG6QtwvGVYPbHLVB0NxXHHPYpZw_YU/bG9jYWw6Ly9tZWRpYS9TUC84RC82MFIzMEMxRzZNVEs4RFNQLzNlNzY4YTUyLmpwZWc, https://media.aiku.io/XbXfXA-uBifVpM0RKXcRCz4T4RNAJJA4T2gRjYaIHQo/bG9jYWw6Ly9tZWRpYS9TUS84RC82MFIzMEMxRzZNVEs4RFNRL2NiOWNmNmM5LmpwZWc","2025-12-10 02:57:31+00","2025-12-10 02:57:31+00",,"2025-09-11 07:34:45+00",15
Active,AromaJ-20,,"Aromatherapy Jewellery Necklaces and Bracelets",5055796532513,,10.96,1,Bracelet,10.96,"Aromatherapy Jewellery Chain Bracelet - Angel Wings - 20mm",19.5,0.25,0.25,"3x13.5 (cm)","Stainless Steel","<p><strong><span style=""color: rgb(75, 80, 88);"">AWGifts Dropship Europe Aromatherapy Chain Bracelet &nbsp;- Angel Wings - 20mm&nbsp;</span></strong><span style=""color: rgb(75, 80, 88);"">&nbsp;will allow your customers to wear <strong>your favourite essential oil </strong>or one of our special blends wherever they go while also experiencing the positive health benefits they provide. &nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);"">Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. <strong>The scent of your oil can last for several days</strong>, but you can always top up more oil to the pad after the oil has completely diffused.</span></p>","AWGifts Dropship Europe Aromatherapy Chain Bracelet &nbsp;- Angel Wings - 20mm&nbsp;&nbsp;will allow your customers to wear your favourite essential oil or one of our special blends wherever they go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.",CHN,7117190090,4.0%,,Normal,"https://media.aiku.io/zc753LUJ5lZxRSVD4xgIxeKl8GVY5c2K1buVlbuz_Ok/bG9jYWw6Ly9tZWRpYS9TUS8wRC82MFIzMEMxRzZNVkswRFNRL2NlZGZkZWJjLmpwZWc, https://media.aiku.io/9dYMQPqVQY3uWN3LrThIABEGn4Rktwh_3N2iWs_0unk/bG9jYWw6Ly9tZWRpYS9TUy8wRC82MFIzMEMxRzZNVkswRFNTL2M3MzUwNmI4LmpwZWc, https://media.aiku.io/YLuP0PiTXO_4-gxvMh61DgjoupaGjW-_tgb0ZOU_h-E/bG9jYWw6Ly9tZWRpYS8xRy8wRS82MFIzMEMxRzZNVkswRTFHLzhkZTkxMzVhLmpwZWc, https://media.aiku.io/kmSOnm7hu6SqnHXWtlgMp_0ma5et1sj4Kh5yEAnrTww/bG9jYWw6Ly9tZWRpYS8xSC8wRS82MFIzMEMxRzZNVkswRTFILzdkMTA1ZjkyLmpwZWc, https://media.aiku.io/L5iy4pqqBx7dk4iXTr0Dgz-KECvI6h9I8VKhnSMoWHI/bG9jYWw6Ly9tZWRpYS8xSi8wRS82MFIzMEMxRzZNVkswRTFKLzU1N2U0ZmZlLmpwZWc, https://media.aiku.io/0wo6tym-IAQO6sv1rdKRYEMXfox9JBq7NLli0D1nzq0/bG9jYWw6Ly9tZWRpYS8xSy8wRS82MFIzMEMxRzZNVkswRTFLL2Y5MmJhNmRhLmpwZWc, https://media.aiku.io/gXVFccSP8XRAy8DnbKHILOLtb3qRWpypgosAK3fu06A/bG9jYWw6Ly9tZWRpYS9TUi8wRC82MFIzMEMxRzZNVkswRFNSLzRmNWYxMzhkLmpwZWc","2025-12-07 21:45:10+00","2025-12-07 21:45:10+00",,"2025-09-11 07:42:54+00",40
Active,AromaJ-13,,"Aromatherapy Jewellery Necklaces and Bracelets",5060060116627,,8.96,1,Necklace,8.96,"Aromatherapy Jewellery Necklace - Diamonds Heart 30mm",15.95,0.018,0.018,"3x0.5 (cm)","Stainless Steel","<p>These <strong>Aromatherapy Diffuser Necklace - Diamond Heart 30mm</strong> will allow you to wear your favourite essential oil or one of our special blends wherever you go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.</p><p>Lockets are available in two sizes 25 mm and 30 mm in diameter and 5 mm in thickness and are made of stainless steel to ensure the oils do not tarnish or breakdown the metal over time. Each necklace comes with 10 assorted colour pads.</p><p>The back of the locket is solid and it can be opened via a tiny slit on the right which is held together with a strong magnetic closure.&nbsp;</p><p>So hurry order today this stunning range of Necklaces, pick your Essential oils or Blends and enjoy that ultimate wearable aromatherapy .</p>","These Aromatherapy Diffuser Necklace - Diamond Heart 30mm will allow you to wear your favourite essential oil or one of our special blends wherever you go while also experiencing the positive health benefits they provide. &nbsp;Each locket contains a tiny piece of pad which holds a few drops of oil that slowly diffuses through the ventilation holes on the front. The scent of your oil can last for several days, but you can always top up more oil to the pad after the oil has completely diffused.Lockets are available in two sizes 25 mm and 30 mm in diameter and 5 mm in thickness and are made of stainless steel to ensure the oils do not tarnish or breakdown the metal over time. Each necklace comes with 10 assorted colour pads.The back of the locket is solid and it can be opened via a tiny slit on the right which is held together with a strong magnetic closure.&nbsp;So hurry order today this stunning range of Necklaces, pick your Essential oils or Blends and enjoy that ultimate wearable aromatherapy .",CHN,7117190090,4.0%,,VeryLow,"https://media.aiku.io/j6ieuKtCOxcj1-sxjS71J08McLJ3KkpmTotetEciijA/bG9jYWw6Ly9tZWRpYS85SC84RS82MFIzMEMxRzZNVEs4RTlILzMyMTBhMGQ0LmpwZWc, https://media.aiku.io/RnbXFqAlilJB2jHcNDPRJs0rLWOUbhi4h9Yu8VFRFfc/bG9jYWw6Ly9tZWRpYS85Sy84RS82MFIzMEMxRzZNVEs4RTlLLzEzY2Y3NzAzLmpwZWc, https://media.aiku.io/9e2yRylLvQ1e5mx7fzYihtC00SwyfR7HwBpbALo7whA/bG9jYWw6Ly9tZWRpYS85Si84RS82MFIzMEMxRzZNVEs4RTlKLzFhNDIyYmE4LmpwZWc, https://media.aiku.io/33FZQ3oFl5SZyeG6QtwvGVYPbHLVB0NxXHHPYpZw_YU/bG9jYWw6Ly9tZWRpYS9TUC84RC82MFIzMEMxRzZNVEs4RFNQLzNlNzY4YTUyLmpwZWc, https://media.aiku.io/XbXfXA-uBifVpM0RKXcRCz4T4RNAJJA4T2gRjYaIHQo/bG9jYWw6Ly9tZWRpYS9TUS84RC82MFIzMEMxRzZNVEs4RFNRL2NiOWNmNmM5LmpwZWc","2025-11-27 14:56:16+00","2025-11-27 14:56:16+00",,"2025-09-11 07:34:42+00",1
Active,AromaJ-26,,"Aromatherapy Jewellery Necklaces and Bracelets",5055796532827,,0.41,10,Pad,0.041,"Aromatherapy Jewellery - Spare Packs of 20mm Pads",0.1,0.01,0.01,"1.3x0.3x1.3 (cm)","Stainless Steel, Cotton non-woven pads","<p><span style=""color: rgb(75, 80, 88);""><strong>AWGifts Dropship Europe</strong> offers <strong>extra Refill Pads</strong> for the range of Aromatherapy bracelets Diffusers. &nbsp;These pads fit the range of bracelets with 20mm in diameter lockets.&nbsp;</span></p><p><span style=""color: rgb(75, 80, 88);""><strong>These pads fits the range of necklaces with 25mm in diameter lockets.</strong></span></p>","AWGifts Dropship Europe offers extra Refill Pads for the range of Aromatherapy bracelets Diffusers. &nbsp;These pads fit the range of bracelets with 20mm in diameter lockets.&nbsp;These pads fits the range of necklaces with 25mm in diameter lockets.",CHN,7315900000,2.7%,,Normal,"https://media.aiku.io/aaDaNoVkBTbbPtDh6BxsMWFdGfmRk49EBgexlfEf134/bG9jYWw6Ly9tZWRpYS85US84RS82MFIzMEMxRzZNVEs4RTlRL2ViNTllODQzLmpwZWc, https://media.aiku.io/yyGZgt4L-tVgkfdSl4x0bXIuJQpocQ8Wyn9NshZm30g/bG9jYWw6Ly9tZWRpYS85Ui84RS82MFIzMEMxRzZNVEs4RTlSLzM2YjRiOTEyLmpwZWc","2025-12-10 02:58:06+00","2025-12-10 02:58:06+00",,"2025-09-11 07:43:09+00",239
